Bluff,Orientation,RR (m/yr),MaxWaveHeight,Mud (%),BaseEl (m),BluffEl (m),Seawall
Bumpkin 1,40,0.04,0.794527173,5.5,2.429,7.096,0
Bumpkin 2,285,0.11,0.965691626,5.5,2.287,10.185,0
Gallops 1,25,0.2,1.525500655,3,4.513,19.039,1
GB 1,60,0.67,2.145065308,3.49,3.048,12.245,1
GB 2,330,0.09,1.654132962,5.06,2.615,27.777,0
GB 3,90,0.35,2.185565948,2.4,3.408,9.914,1
GB 4,125,0.86,2.031821966,2.4,4.413,20.664,1
Georges 1,20,0.17,1.278903723,8,2.307,4.592,1
Georges 2,105,0.48,2.195531607,8,4.932,5.809,1
Long 2,110,0.07,1.43643868,10.79,3.603,13.634,0
Long 1,125,0.17,1.440691113,3.87,2.908,13.226,1
Long 3,335,0.07,0.892258406,5.9,2.42,13.905,1
Lovells 1,275,0.88,1.609522104,5.2,2.391,11.008,0
Lovells 2,85,1.53,2.086852551,3.1,3.688,6.157,1
Moon 1,115,0.05,1.174031138,2.2,1.772,7.262,0
Moon 2,155,0.01,1.149234414,4.9,1.616,12.122,0
Peddocks 1,130,0.09,0.909491956,5.4,2.221,5.134,0
Peddocks 2,60,0.11,1.334861994,8.7,2.995,20.962,0
Peddocks 3,350,0.17,1.49860692,8.7,2.93,19.618,0
Peddocks 4,320,0.02,1.061375618,5.83,2.549,7.99,0
Peddocks 5,250,0.18,1.010987759,9.41,2.049,6.845,0
Peddocks 6,250,0.08,0.939308167,9.41,2.313,4.654,0
Peddocks 7,230,0.15,0.806489885,8.34,2.339,8.794,0
Peddocks 8,50,0.14,0.938855112,8.34,2.46,10.183,0
Rainsford 1,35,0.01,1.564904809,7.7,3.596,15.585,1
Thompson 1,80,0.49,0.876487374,5.22,1.365,7.408,0
Thompson 3,125,0.11,0.878770828,4.7,2.499,7.803,0
Thompson 4,330,0.29,0.803017795,3.32,2.822,6.064,0
Thompson 2,130,0.31,0.843039513,11.04,1.047,6.82,0
Webb 1,315,0.21,0.865506053,6.4,2.981,5.989,0
Webb 2,80,0.21,0.736999214,6.4,2.66,4.235,0
